2022-04-14 09:36:02.788 [main] INFO  App - Starting App using Java 17.0.2 on sakurasawahina with PID 16692 (D:\Idea-Project\magicbazaar\magicbazaar-web\target\classes started by sakurasawahina in D:\Idea-Project\magicbazaar)
2022-04-14 09:36:02.791 [main] INFO  App - No active profile set, falling back to default profiles: default
2022-04-14 09:36:05.692 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-04-14 09:36:05.698 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-04-14 09:36:05.748 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2022-04-14 09:36:07.257 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022-04-14 09:36:07.270 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2022-04-14 09:36:07.271 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-14 09:36:07.271 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
2022-04-14 09:36:07.377 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-14 09:36:07.377 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4523 ms
2022-04-14 09:36:07.577 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-14 09:36:07.748 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-14 09:36:11.215 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2022-04-14 09:36:11.247 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2022-04-14 09:36:11.258 [main] INFO  App - Started App in 9.335 seconds (JVM running for 10.321)
2022-04-14 09:36:11.382 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-14 09:36:11.382 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-14 09:36:11.383 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-04-14 09:36:11.859 [http-nio-8081-exec-1] INFO  com.a243.magicbazaar.config.log.LogAspect - ===============log start===============
2022-04-14 09:36:11.860 [http-nio-8081-exec-1] INFO  com.a243.magicbazaar.config.log.LogAspect - verify:success
2022-04-14 09:36:11.862 [http-nio-8081-exec-1] INFO  com.a243.magicbazaar.config.log.LogAspect - time:2022-04-14T09:36:11.862735800
